frozen_variant_id,canonical_key,policy,kwargs,kwargs_json,complexity,note,command,hash8
ff_als_coverage_coverage_guardrail_fairness,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_guardrail"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_guardrail"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True}""",50a84a78
ff_als_coverage_coverage_guardrail_fairness_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness_weight"":true,""use_guardrail"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness_weight"": true, ""use_guardrail"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness_weight': True}""",b662b300
ff_als_coverage_coverage_guardrail_fairness_fairness,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_fairness_weight"":true,""use_guardrail"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_fairness_weight"": true, ""use_guardrail"": true}",7,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_fairness_weight': True}""",f048843d
ff_als_coverage_coverage_guardrail_fairness_fairness_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_fairness_weight"":true,""use_guardrail"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_fairness_weight"": true, ""use_guardrail"": true, ""use_zone_weights"": true}",8,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}""",dcb53e77
ff_als_coverage_coverage_guardrail_fairness_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_guardrail"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_guardrail"": true, ""use_zone_weights"": true}",7,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_zone_weights': True}""",c9e5a73c
ff_als_coverage_coverage_guardrail_fairness_zone_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness_weight"":true,""use_guardrail"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness_weight': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness_weight"": true, ""use_guardrail"": true, ""use_zone_weights"": true}",7,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness_weight': True, 'use_zone_weights': True}""",f27b3add
ff_als_coverage_coverage_guardrail_urban,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_guardrail"":true,""use_urban_boost"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_guardrail"": true, ""use_urban_boost"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True}""",d198122a
ff_als_coverage_coverage_guardrail_urban_fairness,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_guardrail"":true,""use_urban_boost"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_guardrail"": true, ""use_urban_boost"": true}",7,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness': True}""",c941f5eb
ff_als_coverage_coverage_guardrail_urban_fairness_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness_weight"":true,""use_guardrail"":true,""use_urban_boost"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness_weight"": true, ""use_guardrail"": true, ""use_urban_boost"": true}",7,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness_weight': True}""",187e5ae7
ff_als_coverage_coverage_guardrail_urban_fairness_fairness,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_fairness_weight"":true,""use_guardrail"":true,""use_urban_boost"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_fairness_weight"": true, ""use_guardrail"": true, ""use_urban_boost"": true}",8,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness': True, 'use_fairness_weight': True}""",ac1fd074
ff_als_coverage_coverage_guardrail_urban_fairness_fairness_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_fairness_weight"":true,""use_guardrail"":true,""use_urban_boost"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_fairness_weight"": true, ""use_guardrail"": true, ""use_urban_boost"": true, ""use_zone_weights"": true}",9,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}""",da9ef4e5
ff_als_coverage_coverage_guardrail_urban_fairness_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_guardrail"":true,""use_urban_boost"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_guardrail"": true, ""use_urban_boost"": true, ""use_zone_weights"": true}",8,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness': True, 'use_zone_weights': True}""",0b854047
ff_als_coverage_coverage_guardrail_urban_fairness_zone_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness_weight"":true,""use_guardrail"":true,""use_urban_boost"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness_weight': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness_weight"": true, ""use_guardrail"": true, ""use_urban_boost"": true, ""use_zone_weights"": true}",8,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness_weight': True, 'use_zone_weights': True}""",231bb865
ff_als_coverage_coverage_guardrail_urban_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_guardrail"":true,""use_urban_boost"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_guardrail"": true, ""use_urban_boost"": true, ""use_zone_weights"": true}",7,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_zone_weights': True}""",059fceba
ff_als_coverage_coverage_guardrail_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_guardrail"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_guardrail"": true, ""use_zone_weights"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_zone_weights': True}""",67813614
ff_als_coverage_coverage_urban,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_urban_boost"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_urban_boost"": true}",5,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True}""",3ff9b8bf
ff_als_coverage_coverage_urban_fairness,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_urban_boost"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_urban_boost"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness': True}""",36e67a66
ff_als_coverage_coverage_urban_fairness_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness_weight"":true,""use_urban_boost"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness_weight"": true, ""use_urban_boost"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness_weight': True}""",a284c94c
ff_als_coverage_coverage_urban_fairness_fairness,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_fairness_weight"":true,""use_urban_boost"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_fairness_weight"": true, ""use_urban_boost"": true}",7,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness': True, 'use_fairness_weight': True}""",723156c6
ff_als_coverage_coverage_urban_fairness_fairness_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_fairness_weight"":true,""use_urban_boost"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_fairness_weight"": true, ""use_urban_boost"": true, ""use_zone_weights"": true}",8,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}""",5d0f9e9d
ff_als_coverage_coverage_urban_fairness_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_urban_boost"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_urban_boost"": true, ""use_zone_weights"": true}",7,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness': True, 'use_zone_weights': True}""",911a83cc
ff_als_coverage_coverage_urban_fairness_zone_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness_weight"":true,""use_urban_boost"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness_weight': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness_weight"": true, ""use_urban_boost"": true, ""use_zone_weights"": true}",7,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_fairness_weight': True, 'use_zone_weights': True}""",61aed8c4
ff_als_coverage_coverage_urban_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_urban_boost"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_urban_boost"": true, ""use_zone_weights"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_urban_boost': True, 'use_zone_weights': True}""",ac07ffa7
ff_als_coverage_coverage_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_zone_weights"": true}",5,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_zone_weights': True}""",e4376861
ff_als_coverage_fairness,"feature_flag::{""use_als_guard"":true,""use_coverage_unit"":true,""use_fairness"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_fairness': True}","{""use_als_guard"": true, ""use_coverage_unit"": true, ""use_fairness"": true}",4,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_fairness': True}""",68272056
ff_als_coverage_fairness_2,"feature_flag::{""use_als_guard"":true,""use_coverage_unit"":true,""use_fairness_weight"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_unit"": true, ""use_fairness_weight"": true}",4,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_fairness_weight': True}""",b53ad8c8
ff_als_coverage_fairness_3,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_fairness"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_call': True, 'use_fairness': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_fairness"": true}",4,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_call': True, 'use_fairness': True}""",64235394
ff_als_coverage_fairness_4,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_fairness_weight"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_call': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_fairness_weight"": true}",4,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_call': True, 'use_fairness_weight': True}""",c19c78f2
ff_als_coverage_fairness_fairness,"feature_flag::{""use_als_guard"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_fairness_weight"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_fairness': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_fairness_weight"": true}",5,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_fairness': True, 'use_fairness_weight': True}""",1483f52e
ff_als_coverage_fairness_fairness_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_fairness"":true,""use_fairness_weight"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_fairness"": true, ""use_fairness_weight"": true}",5,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True}""",78c8b0ad
ff_als_coverage_fairness_fairness_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_fairness_weight"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_fairness_weight"": true, ""use_zone_weights"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}""",291fcd66
ff_als_coverage_fairness_fairness_zone_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_fairness"":true,""use_fairness_weight"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_fairness"": true, ""use_fairness_weight"": true, ""use_zone_weights"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}""",df09e6d9
ff_als_coverage_fairness_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_fairness': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_zone_weights"": true}",5,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_fairness': True, 'use_zone_weights': True}""",22947510
